id,filename,video_culture,emotions,gender,confidence,comment,annotator_culture,annotator_language,emoji,annotator_individuality,intensity
1,persian/vid_58.mp4,,"contempt,disgust",female,3,"",persian,persian,none,4,2
2,persian/vid_27.mp4,,none,male,5,"",persian,persian,unamused,2,5
3,persian/vid_89.mp4,,anger,female,5,"",persian,persian,hatred,2,2
4,persian/vid_61.mp4,,annoyed,female,5,"",persian,persian,angry,2,4
5,persian/vid_49.mp4,,anger,male,5,"",persian,persian,hatred,2,6
6,persian/vid_19.mp4,,none,male,5,"",persian,persian,rollingeyes,2,5
7,persian/vid_5.mp4,,none,male,5,"",persian,persian,smirk,2,4
8,persian/vid_85.mp4,,none,male,5,"",persian,persian,weary,2,5
9,persian/vid_37.mp4,,furious,female,5,"",persian,persian,"hatred,furious",2,5
10,persian/vid_63.mp4,,"anger,furious",female,5,"",persian,persian,hatred,2,4
11,persian/vid_97.mp4,,contempt,male,5,"",persian,persian,smirk,2,5
12,persian/vid_21.mp4,,none,male,5,"",persian,persian,skeptical,2,5
13,persian/vid_1.mp4,,annoyed,male,5,"",persian,persian,unamused,2,5
14,persian/vid_9.mp4,,none,male,5,"",persian,persian,unamused,2,3
15,persian/vid_79.mp4,,"anger,annoyed,furious",female,5,"",persian,persian,"hatred,furious",2,5
16,persian/vid_59.mp4,,"anger,furious",female,5,"",persian,persian,"hatred,furious",2,5
17,persian/vid_57.mp4,,disgust,male,5,"",persian,persian,vomiting,2,4
18,persian/vid_13.mp4,,none,male,5,"",persian,persian,expressionless,2,5
19,persian/vid_77.mp4,,"anger,annoyed",male,5,"",persian,persian,"hatred,furious,weary",2,5
20,persian/vid_7.mp4,,contempt,female,4,"",persian,persian,weary,2,5
21,persian/vid_35.mp4,,"anger,annoyed,furious",female,5,"",persian,persian,"hatred,furious",2,6
22,persian/vid_29.mp4,,"contempt,annoyed",female,4,"",persian,persian,"smirk,angry",2,5
23,persian/vid_43.mp4,,anger,female,3,"",persian,persian,angry,2,4
24,persian/vid_14.mp4,,annoyed,female,2,"",persian,persian,unamused,4,2
25,persian/vid_62.mp4,,anger,female,5,"",persian,persian,furious,4,6
26,persian/vid_66.mp4,,"contempt,none",male,4,tired?,persian,persian,rollingeyes,4,1
27,persian/vid_38.mp4,,hatred,female,4,"",persian,persian,angry,4,3
28,persian/vid_46.mp4,,annoyed,male,2,"",persian,persian,weary,4,2
29,persian/vid_46.mp4,,annoyed,male,2,"",persian,persian,weary,4,2
30,persian/vid_70.mp4,,"anger,annoyed",male,4,"",persian,persian,furious,4,4
31,persian/vid_72.mp4,,annoyed,male,4,"",persian,persian,triumph,4,3
32,persian/vid_72.mp4,,annoyed,male,4,"",persian,persian,triumph,4,3
33,persian/vid_4.mp4,,annoyed,female,5,"",persian,persian,hatred,4,3
34,persian/vid_76.mp4,,hatred,male,4,"",persian,persian,"angry,nauseated",4,5
35,persian/vid_16.mp4,,contempt,male,5,"",persian,persian,smirk,4,4
36,persian/vid_12.mp4,,contempt,male,5,"",persian,persian,smirk,4,3
37,persian/vid_30.mp4,,"hatred,furious,none",female,1,devastated,persian,persian,weary,4,1
38,persian/vid_22.mp4,,annoyed,female,2,"",persian,persian,angry,4,2
39,persian/vid_82.mp4,,anger,male,3,"",persian,persian,angry,4,2
40,persian/vid_92.mp4,,disgust,male,4,"",persian,persian,nauseated,4,3
41,persian/vid_52.mp4,,annoyed,male,5,"",persian,persian,unamused,4,3
42,persian/vid_52.mp4,,annoyed,male,5,"",persian,persian,unamused,4,3
43,persian/vid_26.mp4,,none,female,2,tired,persian,persian,weary,4,2
44,persian/vid_48.mp4,,none,male,1,disappointed,persian,persian,unamused,4,1
45,persian/vid_80.mp4,,annoyed,male,4,"",persian,persian,"furious,triumph",4,3
46,persian/vid_32.mp4,,"annoyed,hatred",male,3,"",persian,persian,angry,4,1
47,persian/vid_84.mp4,,anger,male,4,"",persian,persian,hatred,4,4
48,persian/vid_74.mp4,,furious,male,5,"",persian,persian,"furious,triumph",4,5
49,persian/vid_18.mp4,,hatred,female,1,"",persian,persian,"unamused,rollingeyes",4,4
50,persian/vid_8.mp4,,hatred,female,4,"",persian,persian,"nauseated,weary,triumph",4,4
51,persian/vid_40.mp4,,hatred,male,5,"",persian,persian,"hatred,nauseated,weary",4,3
52,persian/vid_20.mp4,,contempt,male,5,"",persian,persian,smirk,4,2
53,persian/vid_96.mp4,,contempt,male,3,"",persian,persian,"smirk,smilingimp",4,2
54,persian/vid_36.mp4,,"disgust,annoyed",female,5,"",persian,persian,"angry,hatred,weary",4,4
55,persian/vid_6.mp4,,none,male,4,confused,persian,persian,skeptical,4,3
56,persian/vid_34.mp4,,none,male,4,tired,persian,persian,weary,4,2
57,persian/vid_42.mp4,,anger,female,2,"",persian,persian,triumph,4,3
58,persian/vid_68.mp4,,furious,male,5,"",persian,persian,"furious,triumph",4,5
59,persian/vid_78.mp4,,"annoyed,furious",male,5,"",persian,persian,"furious,triumph",4,6
60,persian/vid_50.mp4,,"disgust,hatred",female,4,"",persian,persian,"nauseated,weary",4,4
61,persian/vid_54.mp4,,disgust,male,4,"",persian,persian,"unamused,nauseated",4,4
